Date,Close,Volume,LogRet,AbsRet,ILLIQ,ParkinsonVar,RollVol,RollILLIQ,RollParkinson,Z_AbsRet,Z_ILLIQ,StressScore
2022-03-14,1448.6,475970.0,,,,7.156323197803078e-05,,,,,,
2022-03-15,1458.1,376030.0,0.006536645561013188,0.006536645561013188,1.7383308674874844e-08,4.9267794216068747e-05,,,,,,
2022-03-16,1464.5,299230.0,0.004379668945548865,0.004379668945548865,1.463646340790985e-08,1.265182648700103e-05,,,,,,
2022-03-17,1463.36,370980.0,-0.0007787257980975681,0.0007787257980975681,2.0991045288090142e-09,1.4538937867173407e-05,,,,,,
2022-03-18,1469.74,403350.0,0.0043503529113166906,0.0043503529113166906,1.0785553269658338e-08,1.2691929744643946e-05,,,,,,
2022-03-21,1495.49,386540.0,0.0173683979397925,0.0173683979397925,4.4932989961692193e-08,8.30358379949043e-05,,,,,,
2022-03-22,1507.11,489680.0,0.007739997342588012,0.007739997342588012,1.5806235383491283e-08,1.893020834484147e-05,,,,,,
2022-03-23,1504.44,439010.0,-0.0017731737474537823,0.0017731737474537823,4.039028148456259e-09,2.240027339993142e-05,,,,,,
2022-03-24,1499.19,410560.0,-0.0034957736781420223,0.0034957736781420223,8.514647501320202e-09,1.6280265695143336e-05,,,,,,
2022-03-25,1500.7,382260.0,0.0010067036641521199,0.0010067036641521199,2.6335574325122167e-09,9.85071370713165e-06,,,,,,
2022-03-28,1485.61,547000.0,-0.010106203599081098,0.010106203599081098,1.8475692137259777e-08,0.00010545547686974855,,,,,,
2022-03-29,1501.3,347970.0,0.010505937115396158,0.010505937115396158,3.019207723480805e-08,3.8769116968687036e-05,,,,,,
2022-03-30,1496.26,470630.0,-0.003362738193305681,0.003362738193305681,7.145184525647921e-09,7.155424111997831e-05,,,,,,
2022-03-31,1499.71,337050.0,0.0023030948407170015,0.0023030948407170015,6.83309550724522e-09,1.836181199718137e-05,,,,,,
2022-04-01,1529.68,501930.0,0.01978680711903369,0.01978680711903369,3.942144745090688e-08,0.00019863351043931967,,,,,,
2022-04-04,1533.73,458580.0,0.002644113820596594,0.002644113820596594,5.765872520817729e-09,1.8688231640942333e-05,,,,,,
2022-04-05,1526.58,381920.0,-0.004672737735527122,0.004672737735527122,1.2234860011329916e-08,1.8632163136548267e-05,,,,,,
2022-04-06,1534.69,538600.0,0.005298466958594261,0.005298466958594261,9.837480428136393e-09,7.260415350974349e-05,,,,,,
2022-04-07,1515.9,468940.0,-0.01231908426239503,0.01231908426239503,2.6270064960112233e-08,8.571397357517642e-05,,,,,,
2022-04-08,1494.39,422750.0,-0.014291225162605947,0.014291225162605947,3.380538181574441e-08,0.00011227323685284436,,,,,,
2022-04-12,1470.83,386170.0,-0.015891229521444394,0.015891229521444394,4.115086495958877e-08,0.00017165621977247367,,,,,,
2022-04-13,1494.67,378440.0,0.0160785793911824,0.0160785793911824,4.2486469166003596e-08,0.00014292904730321758,,,,,,
2022-04-14,1489.33,293790.0,-0.003579092292497421,0.003579092292497421,1.2182485082873553e-08,3.3346384481375694e-05,,,,,,
2022-04-15,1466.58,406780.0,-0.015393194797391985,0.015393194797391985,3.784157234227834e-08,0.00011295336780342963,,,,,,
2022-04-18,1437.72,483070.0,-0.019874634143407732,0.019874634143407732,4.114234819675768e-08,0.00018208533853441262,,,,,,
2022-04-19,1407.69,404780.0,-0.021108462417438467,0.021108462417438467,5.214798759187328e-08,0.0003047616450264967,,,,,,
2022-04-20,1392.24,405450.0,-0.011036102196450237,0.011036102196450237,2.721939128486925e-08,0.00011351839443132092,,,,,,
