"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"02/12/2024","1,295.86","1,300.51","1,304.04","1,291.31","282.22K","-0.02%"
"29/11/2024","1,296.08","1,286.95","1,297.28","1,285.21","313.77K","0.70%"
"28/11/2024","1,287.02","1,291.59","1,295.97","1,284.18","291.04K","0.03%"
"27/11/2024","1,286.67","1,283.83","1,288.69","1,282.61","261.17K","0.14%"
"26/11/2024","1,284.87","1,277.96","1,289.73","1,277.37","363.99K","0.61%"
"25/11/2024","1,277.14","1,271.42","1,277.81","1,270.58","307.05K","0.49%"
"22/11/2024","1,270.87","1,273.06","1,276.88","1,269.48","342.98K","-0.15%"
"21/11/2024","1,272.84","1,259.65","1,272.84","1,255.43","321.95K","1.09%"
"20/11/2024","1,259.16","1,244.66","1,265.53","1,235.84","492.83K","1.11%"
"19/11/2024","1,245.32","1,259.59","1,261.85","1,245.32","333.57K","-1.13%"
"18/11/2024","1,259.53","1,259.94","1,267.31","1,244.04","433.11K","-0.06%"
"15/11/2024","1,260.23","1,272.17","1,272.61","1,257.83","526.13K","-1.22%"
"14/11/2024","1,275.80","1,291.24","1,293.77","1,275.41","420.07K","-1.38%"
"13/11/2024","1,293.69","1,289.23","1,294.73","1,279.69","456.80K","0.14%"
"12/11/2024","1,291.84","1,300.70","1,304.39","1,288.29","397.76K","-0.51%"
"11/11/2024","1,298.40","1,303.64","1,304.25","1,287.90","550.32K","-0.40%"
"08/11/2024","1,303.59","1,315.39","1,315.49","1,299.39","389.21K","-0.58%"
"07/11/2024","1,311.22","1,318.57","1,319.84","1,310.41","352.91K","-0.13%"
"06/11/2024","1,312.88","1,296.36","1,313.40","1,296.36","384.13K","1.32%"
"05/11/2024","1,295.76","1,294.58","1,299.96","1,294.49","259.75K","0.10%"
"04/11/2024","1,294.46","1,306.97","1,308.59","1,292.04","455.76K","-0.94%"
"01/11/2024","1,306.72","1,314.96","1,317.40","1,305.91","424.26K","-0.98%"
"31/10/2024","1,319.60","1,316.47","1,321.57","1,310.73","340.43K","0.30%"
"30/10/2024","1,315.62","1,319.08","1,320.46","1,309.70","352.44K","-0.12%"
"29/10/2024","1,317.20","1,309.95","1,317.55","1,309.95","363.93K","0.58%"
"28/10/2024","1,309.56","1,307.03","1,309.63","1,304.92","310.59K","0.23%"
"25/10/2024","1,306.53","1,314.37","1,314.99","1,304.46","412.81K","-0.31%"
"24/10/2024","1,310.55","1,327.90","1,330.92","1,310.55","468.37K","-1.29%"
"23/10/2024","1,327.65","1,325.54","1,329.05","1,317.67","424.29K","0.21%"
"22/10/2024","1,324.86","1,333.09","1,335.67","1,319.82","569.64K","-0.64%"
"21/10/2024","1,333.41","1,336.90","1,341.71","1,333.41","447.79K","-0.36%"
"18/10/2024","1,338.25","1,344.40","1,347.43","1,337.33","477.66K","-0.09%"
"17/10/2024","1,339.42","1,332.27","1,339.42","1,320.69","492.20K","0.79%"
"16/10/2024","1,328.95","1,331.57","1,334.80","1,325.88","366.41K","-0.26%"
"15/10/2024","1,332.47","1,340.10","1,346.08","1,330.55","533.90K","-0.45%"
"14/10/2024","1,338.56","1,345.48","1,353.93","1,338.13","530.99K","-0.45%"
"11/10/2024","1,344.63","1,344.39","1,346.63","1,338.62","348.42K","0.13%"
"10/10/2024","1,342.91","1,341.31","1,354.10","1,341.31","520.29K","0.37%"
"09/10/2024","1,337.92","1,328.10","1,338.28","1,327.01","500.87K","0.91%"
"08/10/2024","1,325.88","1,323.72","1,331.19","1,319.07","507.57K","0.32%"
"07/10/2024","1,321.63","1,326.88","1,330.20","1,314.62","361.67K","0.10%"
"04/10/2024","1,320.26","1,329.56","1,330.49","1,320.26","445.13K","-0.63%"
"03/10/2024","1,328.69","1,340.35","1,352.94","1,327.28","801.49K","-0.76%"
"02/10/2024","1,338.80","1,340.38","1,346.58","1,336.31","522.90K","-0.46%"
"01/10/2024","1,344.98","1,342.87","1,355.61","1,342.87","708.08K","0.37%"
"30/09/2024","1,340.04","1,339.44","1,342.15","1,333.40","548.51K","0.04%"
"27/09/2024","1,339.45","1,342.68","1,347.70","1,334.00","706.94K","0.10%"
"26/09/2024","1,338.15","1,334.67","1,345.63","1,332.60","717.09K","0.47%"
"25/09/2024","1,331.90","1,325.44","1,331.90","1,322.57","725.51K","1.01%"
"24/09/2024","1,318.53","1,308.20","1,318.53","1,306.52","373.32K","0.75%"
"23/09/2024","1,308.65","1,316.19","1,319.27","1,307.59","336.24K","-0.35%"
"20/09/2024","1,313.30","1,314.73","1,322.87","1,313.30","674.99K","0.47%"
"19/09/2024","1,307.15","1,304.38","1,307.65","1,300.97","360.98K","0.54%"
"18/09/2024","1,300.16","1,295.77","1,306.41","1,292.94","444.45K","0.49%"
"17/09/2024","1,293.78","1,273.53","1,293.78","1,272.51","339.08K","1.68%"
"16/09/2024","1,272.45","1,284.50","1,290.20","1,272.45","324.12K","-1.01%"
"13/09/2024","1,285.49","1,287.49","1,288.27","1,282.80","281.38K","-0.10%"
"12/09/2024","1,286.78","1,290.14","1,292.49","1,285.75","285.80K","0.19%"
"11/09/2024","1,284.29","1,283.97","1,288.88","1,276.24","394.19K","-0.13%"
"10/09/2024","1,285.92","1,301.11","1,303.16","1,282.47","447.55K","-0.96%"
"09/09/2024","1,298.41","1,300.60","1,301.02","1,293.76","331.27K","-0.52%"
"06/09/2024","1,305.19","1,299.78","1,305.41","1,293.90","384.22K","0.37%"
"05/09/2024","1,300.33","1,310.59","1,314.47","1,296.35","442.35K","-0.71%"
"04/09/2024","1,309.65","1,310.40","1,312.42","1,302.80","445.14K","-0.90%"
"30/08/2024","1,321.49","1,318.80","1,322.89","1,318.21","386.91K","0.33%"
"29/08/2024","1,317.19","1,316.67","1,323.59","1,315.84","448.51K","0.04%"
"28/08/2024","1,316.71","1,318.96","1,320.39","1,311.30","524.53K","0.09%"
"27/08/2024","1,315.47","1,313.27","1,318.73","1,309.37","449.92K","0.08%"
"26/08/2024","1,314.46","1,321.44","1,325.08","1,312.56","534.30K","-0.34%"
"23/08/2024","1,318.92","1,317.96","1,321.13","1,308.24","471.45K","0.15%"
"22/08/2024","1,316.99","1,319.34","1,320.13","1,313.55","448.91K","0.02%"
"21/08/2024","1,316.71","1,304.47","1,316.71","1,301.00","550.61K","0.82%"
"20/08/2024","1,306.01","1,299.15","1,309.82","1,297.25","575.14K","0.68%"
"19/08/2024","1,297.19","1,293.80","1,299.63","1,291.76","446.65K","0.77%"
"16/08/2024","1,287.32","1,256.51","1,287.32","1,256.51","693.04K","2.63%"
"15/08/2024","1,254.39","1,259.21","1,261.23","1,250.52","314.97K","-0.41%"
"14/08/2024","1,259.57","1,265.55","1,266.04","1,257.38","317.96K","-0.07%"
"13/08/2024","1,260.49","1,262.31","1,265.02","1,253.92","348.45K","-0.23%"
"12/08/2024","1,263.44","1,256.74","1,263.88","1,251.39","356.49K","0.68%"
"09/08/2024","1,254.85","1,241.84","1,255.51","1,238.83","402.20K","1.71%"
"08/08/2024","1,233.75","1,237.11","1,246.46","1,227.83","478.59K","-0.76%"
"07/08/2024","1,243.16","1,246.54","1,246.54","1,232.79","374.17K","0.19%"
"06/08/2024","1,240.81","1,228.49","1,243.50","1,216.03","437.34K","2.00%"
"05/08/2024","1,216.52","1,251.12","1,254.35","1,211.96","710.61K","-4.20%"
"02/08/2024","1,269.83","1,255.53","1,269.83","1,240.59","475.21K","0.81%"
"01/08/2024","1,259.57","1,288.99","1,293.32","1,253.52","599.69K","-2.28%"
"31/07/2024","1,288.99","1,284.23","1,292.36","1,282.17","467.84K","0.53%"
"30/07/2024","1,282.20","1,284.14","1,285.49","1,273.46","377.04K","-0.15%"
"29/07/2024","1,284.12","1,285.36","1,289.93","1,282.22","303.70K","0.31%"
"26/07/2024","1,280.12","1,273.23","1,280.12","1,269.89","291.66K","0.69%"
"25/07/2024","1,271.39","1,270.49","1,274.62","1,263.79","294.79K","-0.60%"
"24/07/2024","1,279.08","1,268.07","1,282.78","1,255.95","476.14K","0.45%"
"23/07/2024","1,273.34","1,298.02","1,301.95","1,271.70","486.93K","-1.72%"
"22/07/2024","1,295.61","1,300.31","1,305.86","1,283.34","582.17K","-0.64%"
"19/07/2024","1,303.92","1,310.27","1,317.11","1,298.53","564.30K","-0.48%"
"18/07/2024","1,310.27","1,307.09","1,310.27","1,290.95","460.28K","0.30%"
"17/07/2024","1,306.32","1,318.94","1,327.00","1,290.67","842.75K","-0.54%"
"16/07/2024","1,313.44","1,311.24","1,321.93","1,309.80","426.83K","0.20%"
"15/07/2024","1,310.82","1,314.12","1,319.42","1,306.40","315.87K","-0.24%"
"12/07/2024","1,313.96","1,317.56","1,323.81","1,309.69","373.84K","-0.35%"
"11/07/2024","1,318.61","1,326.09","1,329.82","1,318.61","458.65K","-0.22%"
"10/07/2024","1,321.46","1,332.93","1,334.65","1,321.46","466.57K","-0.77%"
"09/07/2024","1,331.68","1,324.07","1,331.68","1,319.48","541.44K","0.62%"
"08/07/2024","1,323.54","1,326.06","1,327.17","1,317.56","473.82K","0.01%"
"05/07/2024","1,323.39","1,319.42","1,323.65","1,314.76","402.93K","0.39%"
"04/07/2024","1,318.22","1,316.09","1,319.94","1,310.39","342.71K","0.42%"
"03/07/2024","1,312.67","1,303.96","1,315.37","1,303.96","358.76K","0.68%"
"02/07/2024","1,303.85","1,293.87","1,306.79","1,291.84","345.82K","1.09%"
"01/07/2024","1,289.78","1,282.90","1,289.78","1,275.79","299.72K","0.51%"
"28/06/2024","1,283.25","1,296.92","1,297.73","1,275.80","465.88K","-1.01%"
"27/06/2024","1,296.31","1,296.30","1,297.51","1,288.58","328.31K","-0.16%"
"26/06/2024","1,298.43","1,297.32","1,300.52","1,282.75","412.36K","0.21%"
"25/06/2024","1,295.68","1,294.04","1,298.24","1,288.03","384.49K","0.16%"
"24/06/2024","1,293.56","1,323.35","1,326.52","1,290.08","777.51K","-2.37%"
"21/06/2024","1,324.91","1,327.59","1,329.15","1,320.93","503.20K","-0.02%"
"20/06/2024","1,325.15","1,322.46","1,328.81","1,314.97","602.78K","0.37%"
"19/06/2024","1,320.28","1,321.42","1,325.09","1,308.58","570.04K","0.17%"
"18/06/2024","1,318.00","1,321.12","1,326.50","1,316.92","457.67K","0.14%"
"17/06/2024","1,316.14","1,323.20","1,324.43","1,311.44","571.57K","-0.42%"
"14/06/2024","1,321.73","1,344.70","1,346.50","1,321.73","727.42K","-1.51%"
"13/06/2024","1,341.97","1,339.43","1,345.85","1,336.85","633.32K","0.22%"
"12/06/2024","1,339.02","1,318.87","1,339.02","1,316.11","566.08K","1.59%"
"11/06/2024","1,318.06","1,327.41","1,329.25","1,311.55","596.08K","-0.35%"
"10/06/2024","1,322.69","1,324.97","1,329.04","1,318.19","509.88K","0.26%"
"07/06/2024","1,319.20","1,315.10","1,325.36","1,313.53","387.33K","0.40%"
"06/06/2024","1,313.94","1,317.55","1,321.25","1,307.84","554.53K","0.08%"
"05/06/2024","1,312.87","1,316.50","1,325.67","1,312.87","570.87K","-0.20%"
"04/06/2024","1,315.51","1,320.57","1,322.36","1,313.54","561.71K","0.13%"
"03/06/2024","1,313.74","1,302.98","1,316.65","1,302.49","664.24K","1.61%"
"31/05/2024","1,292.90","1,296.75","1,300.01","1,290.99","398.92K","-0.14%"
"30/05/2024","1,294.72","1,293.24","1,295.93","1,276.79","657.36K","-0.31%"
"29/05/2024","1,298.75","1,312.14","1,313.12","1,297.42","670.11K","-0.80%"
"28/05/2024","1,309.27","1,298.89","1,309.27","1,295.55","527.85K","1.32%"
"27/05/2024","1,292.17","1,291.03","1,293.28","1,281.12","435.76K","0.27%"
"24/05/2024","1,288.74","1,312.24","1,316.33","1,275.72","911.62K","-1.83%"
"23/05/2024","1,312.80","1,298.38","1,312.80","1,290.85","595.83K","1.02%"
"22/05/2024","1,299.49","1,313.40","1,316.74","1,295.64","708.07K","-0.96%"
"21/05/2024","1,312.13","1,312.99","1,315.40","1,300.35","580.04K","-0.11%"
"20/05/2024","1,313.54","1,320.23","1,323.78","1,313.54","707.02K","0.20%"
"17/05/2024","1,310.87","1,305.96","1,310.87","1,301.68","621.20K","0.53%"
"16/05/2024","1,303.92","1,296.96","1,306.43","1,293.03","609.55K","1.41%"
"15/05/2024","1,285.73","1,278.42","1,290.05","1,277.54","513.66K","1.04%"
"14/05/2024","1,272.48","1,275.78","1,281.40","1,269.78","357.08K","0.33%"
"13/05/2024","1,268.30","1,276.08","1,276.86","1,261.38","410.87K","-0.34%"
"10/05/2024","1,272.61","1,278.46","1,278.94","1,263.03","409.72K","-0.15%"
"09/05/2024","1,274.49","1,281.95","1,284.90","1,269.56","444.25K","-0.30%"
"08/05/2024","1,278.35","1,270.62","1,278.35","1,262.59","563.55K","0.11%"
"07/05/2024","1,276.92","1,272.71","1,277.78","1,265.65","409.50K","0.71%"
"06/05/2024","1,267.86","1,254.21","1,267.86","1,249.13","487.69K","1.66%"
"03/05/2024","1,247.16","1,243.26","1,252.17","1,242.45","415.57K","0.53%"
"02/05/2024","1,240.61","1,237.46","1,241.27","1,231.34","373.67K","0.52%"
"26/04/2024","1,234.22","1,221.07","1,239.35","1,219.25","400.43K","0.46%"
"25/04/2024","1,228.52","1,230.77","1,231.77","1,220.91","348.88K","-0.03%"
"24/04/2024","1,228.94","1,203.90","1,231.37","1,202.64","491.51K","2.92%"
"23/04/2024","1,194.03","1,204.10","1,208.09","1,186.19","504.53K","-0.74%"
"22/04/2024","1,202.92","1,196.49","1,208.76","1,193.17","441.10K","1.47%"
"19/04/2024","1,185.51","1,200.62","1,203.76","1,176.17","740.05K","-1.67%"
"17/04/2024","1,205.61","1,227.74","1,233.28","1,205.52","545.51K","-1.78%"
"16/04/2024","1,227.50","1,225.57","1,230.81","1,201.93","885.85K","0.09%"
"15/04/2024","1,226.38","1,288.74","1,292.78","1,226.38","965.39K","-4.89%"
"12/04/2024","1,289.45","1,268.48","1,289.45","1,268.48","497.86K","1.72%"
"11/04/2024","1,267.70","1,266.41","1,272.24","1,257.98","445.93K","-0.05%"
"10/04/2024","1,268.39","1,276.75","1,280.14","1,268.39","440.11K","-0.29%"
"09/04/2024","1,272.10","1,258.15","1,272.10","1,254.25","431.51K","1.24%"
"08/04/2024","1,256.58","1,262.02","1,264.25","1,252.18","531.71K","-0.43%"
"05/04/2024","1,262.07","1,264.98","1,273.00","1,258.71","673.82K","-1.02%"
"04/04/2024","1,275.12","1,282.48","1,286.30","1,273.15","644.82K","-0.55%"
"03/04/2024","1,282.23","1,296.96","1,301.14","1,282.07","716.58K","-1.36%"
"02/04/2024","1,299.88","1,288.63","1,299.88","1,279.30","763.99K","0.29%"
"01/04/2024","1,296.11","1,296.82","1,302.43","1,287.98","596.36K","-0.32%"
"29/03/2024","1,300.31","1,307.69","1,308.11","1,297.61","542.08K","-0.43%"
"28/03/2024","1,305.91","1,300.03","1,308.63","1,299.77","633.08K","0.90%"
"27/03/2024","1,294.21","1,293.73","1,296.63","1,285.51","544.59K","0.22%"
"26/03/2024","1,291.41","1,274.30","1,291.54","1,269.62","615.89K","1.31%"
"25/03/2024","1,274.66","1,289.03","1,294.53","1,270.63","775.29K","-1.13%"
"22/03/2024","1,289.21","1,291.67","1,298.07","1,281.29","901.55K","0.29%"
"21/03/2024","1,285.42","1,274.71","1,285.42","1,270.26","857.62K","1.58%"
"20/03/2024","1,265.41","1,243.86","1,267.10","1,235.28","649.95K","1.88%"
"19/03/2024","1,242.02","1,243.74","1,249.14","1,237.16","598.61K","-0.11%"
"18/03/2024","1,243.39","1,265.05","1,268.66","1,219.48","1.19M","-1.69%"
"15/03/2024","1,264.79","1,266.22","1,272.72","1,253.09","755.61K","-0.22%"
"14/03/2024","1,267.60","1,277.00","1,282.20","1,261.61","739.82K","-0.70%"
"13/03/2024","1,276.48","1,245.66","1,276.48","1,245.66","627.82K","2.50%"
"12/03/2024","1,245.36","1,237.47","1,248.68","1,235.34","573.33K","0.55%"
"11/03/2024","1,238.55","1,251.93","1,257.72","1,235.45","667.33K","-1.06%"
"08/03/2024","1,251.76","1,277.05","1,281.43","1,251.76","972.23K","-1.88%"
"07/03/2024","1,275.78","1,268.15","1,278.45","1,264.37","668.68K","0.62%"
"06/03/2024","1,267.89","1,278.77","1,284.31","1,260.96","674.41K","-0.84%"
"05/03/2024","1,278.67","1,268.80","1,278.67","1,264.41","628.31K","0.86%"
"04/03/2024","1,267.79","1,270.22","1,273.96","1,263.33","781.45K","0.26%"
"01/03/2024","1,264.44","1,260.12","1,265.66","1,255.36","639.41K","0.50%"
"29/02/2024","1,258.09","1,259.38","1,266.27","1,250.02","745.01K","0.18%"
"28/02/2024","1,255.79","1,247.31","1,255.79","1,242.00","646.27K","1.06%"
"27/02/2024","1,242.56","1,234.21","1,242.56","1,231.95","656.70K","1.17%"
"26/02/2024","1,228.15","1,216.09","1,228.89","1,212.60","590.91K","1.06%"
"23/02/2024","1,215.23","1,235.83","1,247.21","1,215.23","988.55K","-1.57%"
"22/02/2024","1,234.58","1,237.19","1,238.55","1,232.24","531.79K","-0.20%"
"21/02/2024","1,237.03","1,236.09","1,242.09","1,229.09","648.91K","0.11%"
"20/02/2024","1,235.71","1,236.52","1,238.17","1,230.37","594.59K","0.12%"
"19/02/2024","1,234.18","1,225.99","1,234.18","1,222.00","727.52K","0.94%"
"16/02/2024","1,222.64","1,221.39","1,223.42","1,217.41","557.79K","0.43%"
"15/02/2024","1,217.39","1,212.74","1,224.67","1,212.74","645.97K","0.51%"
"07/02/2024","1,211.21","1,202.08","1,212.66","1,201.87","484.34K","0.96%"
"06/02/2024","1,199.68","1,199.06","1,202.82","1,197.61","386.17K","0.23%"
"05/02/2024","1,196.90","1,181.54","1,199.55","1,181.31","559.91K","1.48%"
"02/02/2024","1,179.49","1,179.49","1,184.67","1,177.88","544.50K","0.09%"
"01/02/2024","1,178.45","1,170.08","1,180.48","1,169.82","386.22K","0.64%"
"31/01/2024","1,170.92","1,188.02","1,189.15","1,168.87","754.39K","-1.24%"
"30/01/2024","1,185.64","1,180.86","1,186.03","1,180.27","383.18K","0.42%"
"29/01/2024","1,180.69","1,185.06","1,186.32","1,179.73","383.09K","-0.19%"
"26/01/2024","1,182.99","1,180.44","1,184.65","1,180.44","351.29K","0.44%"
"25/01/2024","1,177.84","1,180.19","1,180.19","1,174.24","326.34K","-0.08%"
"24/01/2024","1,178.74","1,181.71","1,187.12","1,177.97","444.20K","-0.35%"
"23/01/2024","1,182.85","1,189.80","1,190.98","1,180.37","422.95K","-0.38%"
"22/01/2024","1,187.37","1,187.68","1,190.55","1,179.82","543.29K","0.31%"
"19/01/2024","1,183.75","1,179.05","1,185.56","1,178.68","458.60K","0.70%"
"18/01/2024","1,175.49","1,170.54","1,176.69","1,168.81","412.83K","0.62%"
"17/01/2024","1,168.28","1,170.12","1,177.61","1,167.68","510.05K","-0.14%"
"16/01/2024","1,169.95","1,155.87","1,169.95","1,153.06","416.17K","0.97%"
"15/01/2024","1,158.72","1,168.08","1,172.31","1,158.72","404.23K","-0.40%"
"12/01/2024","1,163.43","1,164.25","1,168.50","1,151.94","775.98K","-0.33%"
"11/01/2024","1,167.26","1,166.66","1,175.04","1,161.97","587.91K","0.24%"
"10/01/2024","1,164.42","1,165.19","1,171.55","1,159.98","690.35K","-0.04%"
"09/01/2024","1,164.86","1,168.45","1,169.88","1,161.26","584.78K","-0.25%"
"08/01/2024","1,167.79","1,168.21","1,173.79","1,164.56","565.31K","0.26%"
"05/01/2024","1,164.81","1,161.60","1,166.47","1,157.47","531.95K","0.33%"
"04/01/2024","1,161.03","1,153.86","1,172.17","1,153.23","840.14K","0.72%"
"03/01/2024","1,152.77","1,140.07","1,152.77","1,136.27","426.12K","1.10%"
"02/01/2024","1,140.25","1,147.93","1,150.44","1,138.40","567.08K","-0.12%"
"29/12/2023","1,141.65","1,140.13","1,144.20","1,139.16","427.86K","0.31%"
"28/12/2023","1,138.09","1,129.37","1,139.50","1,127.34","438.32K","0.84%"
"27/12/2023","1,128.61","1,130.29","1,133.62","1,128.61","398.70K","0.03%"
"26/12/2023","1,128.29","1,125.04","1,130.00","1,123.76","414.00K","0.37%"
"25/12/2023","1,124.15","1,112.14","1,125.73","1,111.92","384.54K","1.31%"
"22/12/2023","1,109.59","1,109.60","1,112.78","1,106.47","361.80K","-0.01%"
"21/12/2023","1,109.69","1,103.75","1,109.71","1,101.77","314.71K","0.15%"
"20/12/2023","1,108.02","1,103.12","1,108.73","1,100.10","312.13K","0.47%"
"19/12/2023","1,102.81","1,095.87","1,102.81","1,086.96","368.75K","0.64%"
"18/12/2023","1,095.83","1,108.21","1,108.70","1,094.20","356.08K","-0.95%"
"15/12/2023","1,106.36","1,112.79","1,116.86","1,105.54","473.81K","-0.53%"
"14/12/2023","1,112.30","1,122.55","1,124.39","1,110.77","417.67K","-0.46%"
"13/12/2023","1,117.49","1,135.91","1,137.37","1,116.42","548.85K","-1.34%"
"12/12/2023","1,132.71","1,132.14","1,133.90","1,127.68","371.70K","0.27%"
"11/12/2023","1,129.68","1,132.38","1,133.24","1,123.54","433.82K","0.07%"
"08/12/2023","1,128.85","1,126.62","1,133.49","1,122.71","530.39K","0.21%"
"07/12/2023","1,126.45","1,129.85","1,134.40","1,110.33","918.87K","-0.22%"
"06/12/2023","1,128.93","1,119.18","1,128.93","1,117.45","545.40K","1.00%"
"05/12/2023","1,117.72","1,124.92","1,126.91","1,115.01","500.28K","-0.52%"
"04/12/2023","1,123.52","1,109.11","1,128.62","1,108.64","770.54K","1.90%"
"01/12/2023","1,102.58","1,100.56","1,103.04","1,088.71","398.79K","0.80%"
"30/11/2023","1,093.86","1,102.31","1,108.73","1,093.86","448.80K","-0.81%"
"29/11/2023","1,102.84","1,097.89","1,106.34","1,097.06","394.63K","0.69%"
"28/11/2023","1,095.28","1,086.46","1,095.62","1,073.78","423.60K","0.83%"
"27/11/2023","1,086.25","1,098.16","1,099.53","1,085.81","354.68K","-1.08%"
"24/11/2023","1,098.11","1,094.49","1,098.11","1,074.32","632.97K","0.68%"
"23/11/2023","1,090.69","1,124.70","1,127.50","1,090.69","671.75K","-2.80%"
"22/11/2023","1,122.13","1,118.30","1,123.75","1,110.43","559.86K","0.40%"
"21/11/2023","1,117.64","1,110.64","1,120.78","1,110.64","420.66K","0.70%"
"20/11/2023","1,109.84","1,095.97","1,119.37","1,090.00","536.14K","0.12%"
"17/11/2023","1,108.54","1,136.95","1,139.64","1,102.47","791.33K","-2.26%"
"16/11/2023","1,134.15","1,127.43","1,134.15","1,122.89","415.18K","0.32%"
"15/11/2023","1,130.57","1,133.03","1,144.42","1,127.22","642.58K","0.88%"
"14/11/2023","1,120.67","1,114.86","1,127.93","1,111.91","561.87K","1.16%"
"13/11/2023","1,107.78","1,107.73","1,115.70","1,098.21","522.70K","0.05%"
"10/11/2023","1,107.20","1,109.00","1,124.41","1,106.81","695.96K","-1.00%"
"09/11/2023","1,118.40","1,123.81","1,132.30","1,117.65","694.61K","-0.22%"
"08/11/2023","1,120.88","1,080.37","1,120.88","1,076.82","618.89K","3.72%"
"07/11/2023","1,080.73","1,087.42","1,092.24","1,079.53","386.11K","-0.94%"
"06/11/2023","1,091.04","1,082.65","1,091.04","1,081.51","400.46K","1.51%"
"03/11/2023","1,074.84","1,075.86","1,082.77","1,068.94","529.96K","0.05%"
"02/11/2023","1,074.28","1,035.71","1,074.28","1,035.71","502.97K","3.76%"
"01/11/2023","1,035.34","1,019.45","1,035.34","1,014.05","428.38K","1.58%"
"31/10/2023","1,019.22","1,035.52","1,038.65","1,016.13","517.67K","-1.37%"
"30/10/2023","1,033.36","1,053.55","1,056.91","1,033.36","319.80K","-2.35%"
"27/10/2023","1,058.25","1,057.36","1,060.63","1,036.47","452.82K","0.75%"
"26/10/2023","1,050.41","1,079.10","1,080.76","1,041.67","822.27K","-4.48%"
"25/10/2023","1,099.69","1,105.27","1,113.07","1,099.69","336.79K","-0.41%"
"24/10/2023","1,104.25","1,094.08","1,107.20","1,087.15","316.32K","1.14%"
"23/10/2023","1,091.82","1,106.41","1,106.61","1,085.29","367.28K","-1.40%"
"20/10/2023","1,107.36","1,084.21","1,107.92","1,073.45","419.10K","2.12%"
"19/10/2023","1,084.32","1,104.49","1,104.69","1,084.32","441.13K","-1.75%"
"18/10/2023","1,103.68","1,123.90","1,125.41","1,085.45","668.83K","-1.47%"
"17/10/2023","1,120.14","1,146.61","1,149.50","1,120.14","403.16K","-1.91%"
"16/10/2023","1,141.96","1,156.41","1,158.69","1,140.79","442.34K","-1.28%"
"13/10/2023","1,156.82","1,145.31","1,158.07","1,139.97","419.34K","0.28%"
"12/10/2023","1,153.59","1,155.06","1,161.17","1,150.01","427.39K","-0.06%"
"11/10/2023","1,154.28","1,146.50","1,154.28","1,139.17","356.62K","0.85%"
"10/10/2023","1,144.55","1,141.87","1,151.38","1,141.87","447.95K","0.56%"
"09/10/2023","1,138.15","1,125.67","1,138.15","1,123.38","394.58K","1.12%"
"06/10/2023","1,125.53","1,109.33","1,126.61","1,103.52","429.07K","1.56%"
"05/10/2023","1,108.21","1,126.76","1,128.86","1,108.21","395.95K","-1.28%"
"04/10/2023","1,122.61","1,106.39","1,131.36","1,097.31","479.01K","1.07%"
"03/10/2023","1,110.71","1,140.54","1,141.63","1,108.94","673.47K","-3.48%"
"02/10/2023","1,150.72","1,149.46","1,157.64","1,143.81","315.36K","0.20%"
"29/09/2023","1,148.47","1,152.38","1,159.09","1,146.65","375.05K","0.18%"
"28/09/2023","1,146.35","1,149.28","1,149.64","1,127.85","470.44K","-0.30%"
"27/09/2023","1,149.75","1,131.26","1,149.75","1,114.60","529.45K","1.85%"
"26/09/2023","1,128.89","1,137.54","1,155.07","1,128.89","676.84K","-0.91%"
"25/09/2023","1,139.29","1,182.39","1,187.28","1,139.29","699.45K","-3.88%"
"22/09/2023","1,185.27","1,203.08","1,203.08","1,168.98","965.38K","-2.32%"
"21/09/2023","1,213.37","1,229.39","1,230.54","1,212.55","658.11K","-1.33%"
"20/09/2023","1,229.75","1,216.37","1,231.11","1,213.04","527.90K","1.26%"
"19/09/2023","1,214.45","1,213.48","1,218.39","1,199.26","623.03K","0.23%"
"18/09/2023","1,211.63","1,222.88","1,225.23","1,203.51","551.20K","-1.16%"
"15/09/2023","1,225.85","1,224.56","1,234.03","1,219.36","620.65K","0.28%"
"14/09/2023","1,222.44","1,237.95","1,244.64","1,221.04","739.09K","-1.25%"
"13/09/2023","1,237.90","1,249.17","1,251.99","1,231.47","806.38K","-0.57%"
"12/09/2023","1,244.99","1,218.96","1,244.99","1,214.59","602.46K","2.13%"
"11/09/2023","1,218.98","1,242.45","1,249.50","1,217.83","894.25K","-1.62%"
"08/09/2023","1,239.04","1,238.34","1,246.23","1,237.23","633.60K","-0.11%"
"07/09/2023","1,240.42","1,245.56","1,253.31","1,237.66","733.66K","-0.21%"
"06/09/2023","1,243.04","1,230.63","1,243.04","1,222.01","731.08K","1.20%"
"05/09/2023","1,228.33","1,226.35","1,231.86","1,222.00","660.61K","0.77%"
"31/08/2023","1,218.92","1,207.91","1,218.92","1,207.91","610.67K","1.00%"
"30/08/2023","1,206.80","1,195.55","1,207.64","1,194.25","578.38K","1.05%"
"29/08/2023","1,194.25","1,194.68","1,198.04","1,186.45","624.64K","0.26%"
"28/08/2023","1,191.11","1,177.02","1,191.11","1,176.04","528.50K","1.78%"
"25/08/2023","1,170.30","1,173.42","1,177.89","1,166.68","591.57K","-0.28%"
"24/08/2023","1,173.59","1,153.91","1,173.59","1,150.47","547.97K","1.86%"
"23/08/2023","1,152.13","1,173.73","1,174.15","1,148.22","472.46K","-0.79%"
"22/08/2023","1,161.32","1,157.46","1,161.51","1,122.45","676.35K","0.54%"
