"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"10/10/2025","1,911.55","1,879.62","1,911.56","1,879.62","851.16M","1.70%"
"09/10/2025","1,879.62","1,861.87","1,882.75","1,861.87","914.70M","0.95%"
"08/10/2025","1,861.87","1,850.55","1,912.27","1,845.10","877.55M","0.61%"
"07/10/2025","1,850.55","1,864.34","1,887.95","1,839.36","660.54M","-0.74%"
"06/10/2025","1,864.34","1,803.15","1,864.34","1,803.15","874.09M","3.39%"
"03/10/2025","1,803.15","1,810.69","1,816.18","1,795.31","675.92M","-0.42%"
"02/10/2025","1,810.69","1,826.30","1,844.39","1,803.72","615.59M","-0.85%"
"01/10/2025","1,826.30","1,817.70","1,832.98","1,814.33","569.20M","0.47%"
"30/09/2025","1,817.70","1,820.38","1,832.18","1,797.07","880.01M","-0.15%"
"29/09/2025","1,820.38","1,812.71","1,827.18","1,797.75","672.69M","0.42%"
"26/09/2025","1,812.71","1,821.95","1,827.68","1,803.94","712.39M","-0.51%"
"25/09/2025","1,821.95","1,814.83","1,830.67","1,809.67","717.48M","0.39%"
"24/09/2025","1,814.83","1,781.08","1,814.83","1,762.35","811.87M","1.89%"
"23/09/2025","1,781.08","1,780.83","1,794.30","1,769.83","552.23M","0.01%"
"22/09/2025","1,780.83","1,814.00","1,823.73","1,761.32","955.21M","-1.83%"
"19/09/2025","1,814.00","1,819.65","1,828.61","1,796.68","711.22M","-0.31%"
"18/09/2025","1,819.65","1,824.79","1,835.05","1,797.35","706.16M","-0.28%"
"17/09/2025","1,824.79","1,836.72","1,842.98","1,817.15","770.35M","-0.65%"
"16/09/2025","1,836.72","1,840.69","1,855.59","1,830.46","1.04B","-0.22%"
"15/09/2025","1,840.69","1,823.56","1,840.69","1,821.38","929.32M","0.94%"
"12/09/2025","1,823.56","1,813.71","1,837.24","1,807.22","828.96M","0.54%"
"11/09/2025","1,813.71","1,795.38","1,816.54","1,746.52","1.01B","1.02%"
"10/09/2025","1,795.38","1,792.59","1,814.66","1,778.95","680.27M","0.16%"
"09/09/2025","1,792.59","1,772.72","1,792.59","1,758.98","845.09M","1.12%"
"08/09/2025","1,772.72","1,824.91","1,825.71","1,771.12","1.51B","-2.86%"
"05/09/2025","1,824.91","1,864.54","1,881.74","1,823.40","1.36B","-2.13%"
"04/09/2025","1,864.54","1,845.56","1,864.96","1,840.28","1.09B","1.03%"
"03/09/2025","1,845.56","1,844.40","1,856.13","1,831.41","1.04B","0.06%"
"29/08/2025","1,844.40","1,838.37","1,864.01","1,838.03","1.22B","0.33%"
"28/08/2025","1,838.37","1,823.27","1,842.25","1,806.87","955.36M","0.83%"
"27/08/2025","1,823.27","1,822.28","1,854.55","1,816.88","1.27B","0.05%"
"26/08/2025","1,822.28","1,754.96","1,822.48","1,739.49","1.05B","3.84%"
"25/08/2025","1,754.96","1,797.62","1,817.53","1,747.70","1.22B","-2.37%"
"22/08/2025","1,797.62","1,855.24","1,863.48","1,775.94","1.82B","-3.11%"
"21/08/2025","1,855.24","1,817.60","1,861.69","1,817.60","1.35B","2.07%"
"20/08/2025","1,817.60","1,804.39","1,825.82","1,754.48","1.84B","0.73%"
"19/08/2025","1,804.39","1,778.16","1,819.00","1,778.16","1.38B","1.48%"
"18/08/2025","1,778.16","1,768.43","1,784.00","1,763.09","1.23B","0.55%"
"15/08/2025","1,768.43","1,777.05","1,809.15","1,753.25","1.59B","-0.49%"
"14/08/2025","1,777.05","1,736.25","1,777.12","1,736.25","1.43B","2.35%"
"13/08/2025","1,736.25","1,730.45","1,744.92","1,706.70","1.48B","0.34%"
"12/08/2025","1,730.45","1,717.27","1,730.66","1,708.66","1.24B","0.77%"
"11/08/2025","1,717.27","1,703.18","1,723.57","1,703.18","1.25B","0.83%"
"08/08/2025","1,703.18","1,701.46","1,715.35","1,680.05","1.42B","0.10%"
"07/08/2025","1,701.46","1,689.03","1,707.17","1,682.71","1.27B","0.74%"
"06/08/2025","1,689.03","1,656.32","1,689.77","1,656.32","1.07B","1.97%"
"05/08/2025","1,656.32","1,630.53","1,699.33","1,618.39","2.22B","1.58%"
"04/08/2025","1,630.53","1,593.67","1,630.53","1,584.91","940.25M","2.31%"
"01/08/2025","1,593.67","1,597.80","1,607.12","1,574.72","1.09B","-0.26%"
"31/07/2025","1,597.80","1,599.05","1,620.08","1,577.43","1.33B","-0.08%"
"30/07/2025","1,599.05","1,578.81","1,603.73","1,568.32","1.32B","1.28%"
"29/07/2025","1,578.81","1,658.66","1,671.62","1,575.95","2.10B","-4.81%"
"28/07/2025","1,658.66","1,622.44","1,658.85","1,622.44","1.34B","2.23%"
"25/07/2025","1,622.44","1,605.47","1,625.70","1,605.47","1.10B","1.06%"
"24/07/2025","1,605.47","1,593.19","1,610.25","1,586.85","1.07B","0.77%"
"23/07/2025","1,593.19","1,587.40","1,605.95","1,586.50","1.17B","0.36%"
"22/07/2025","1,587.40","1,561.64","1,587.40","1,549.33","980.94M","1.65%"
"21/07/2025","1,561.64","1,568.47","1,585.30","1,557.38","1.09B","-0.44%"
"18/07/2025","1,568.47","1,555.96","1,571.26","1,550.43","1.08B","0.80%"
"17/07/2025","1,555.96","1,544.04","1,560.88","1,544.04","1.07B","0.77%"
"16/07/2025","1,544.04","1,527.96","1,544.32","1,523.34","914.92M","1.05%"
"15/07/2025","1,527.96","1,535.66","1,546.73","1,527.75","1.06B","-0.50%"
"14/07/2025","1,535.66","1,522.24","1,536.89","1,509.00","956.33M","0.88%"
"11/07/2025","1,522.24","1,507.60","1,528.15","1,507.36","990.53M","0.97%"
"10/07/2025","1,507.60","1,494.20","1,507.71","1,494.20","854.01M","0.90%"
"09/07/2025","1,494.20","1,482.65","1,497.78","1,482.63","1.16B","0.78%"
"08/07/2025","1,482.65","1,467.99","1,482.95","1,467.99","916.10M","1.00%"
"07/07/2025","1,467.99","1,448.26","1,468.18","1,448.26","1.04B","1.36%"
"04/07/2025","1,448.26","1,438.90","1,448.40","1,438.90","656.60M","0.65%"
"03/07/2025","1,438.90","1,438.15","1,450.65","1,433.84","1.08B","0.05%"
"02/07/2025","1,438.15","1,426.78","1,438.42","1,422.55","716.41M","0.80%"
"01/07/2025","1,426.78","1,427.53","1,433.03","1,419.73","590.87M","-0.05%"
"30/06/2025","1,427.53","1,420.73","1,429.87","1,420.73","505.07M","0.48%"
"27/06/2025","1,420.73","1,414.54","1,422.64","1,413.04","561.41M","0.44%"
"26/06/2025","1,414.54","1,414.64","1,420.94","1,408.47","486.02M","-0.01%"
"25/06/2025","1,414.64","1,413.88","1,421.54","1,411.04","610.42M","0.05%"
"24/06/2025","1,413.88","1,402.65","1,419.36","1,402.65","743.02M","0.80%"
"23/06/2025","1,402.65","1,399.20","1,402.81","1,384.40","573.81M","0.25%"
"20/06/2025","1,399.20","1,398.90","1,407.42","1,393.27","618.89M","0.02%"
"19/06/2025","1,398.90","1,393.43","1,400.52","1,387.71","496.95M","0.39%"
"18/06/2025","1,393.43","1,394.52","1,401.82","1,388.33","586.10M","-0.08%"
"17/06/2025","1,394.52","1,386.72","1,400.21","1,385.94","597.91M","0.56%"
"16/06/2025","1,386.72","1,363.26","1,386.89","1,354.98","595.05M","1.72%"
"13/06/2025","1,363.26","1,374.41","1,379.35","1,350.14","922.98M","-0.81%"
"12/06/2025","1,374.41","1,361.77","1,377.42","1,355.63","657.65M","0.93%"
"11/06/2025","1,361.77","1,360.99","1,366.86","1,353.51","407.21M","0.06%"
"10/06/2025","1,360.99","1,353.41","1,369.50","1,346.51","551.49M","0.56%"
"09/06/2025","1,353.41","1,370.94","1,371.89","1,351.51","555.12M","-1.28%"
"06/06/2025","1,370.94","1,385.01","1,388.75","1,368.22","729.17M","-1.02%"
"05/06/2025","1,385.01","1,389.54","1,392.21","1,379.43","571.66M","-0.33%"
"04/06/2025","1,389.54","1,390.82","1,395.68","1,386.07","723.64M","-0.09%"
"03/06/2025","1,390.82","1,377.43","1,395.41","1,377.43","839.26M","0.97%"
"02/06/2025","1,377.43","1,371.73","1,377.50","1,363.75","646.98M","0.42%"
"30/05/2025","1,371.73","1,382.77","1,388.10","1,367.17","711.54M","-0.80%"
"29/05/2025","1,382.77","1,381.79","1,389.41","1,377.13","703.37M","0.07%"
"28/05/2025","1,381.79","1,383.41","1,389.27","1,376.68","695.43M","-0.12%"
"27/05/2025","1,383.41","1,375.06","1,383.88","1,373.99","850.22M","0.61%"
"26/05/2025","1,375.06","1,359.03","1,375.11","1,331.20","752.71M","1.18%"
"23/05/2025","1,359.03","1,359.26","1,364.37","1,352.73","514.63M","-0.02%"
"22/05/2025","1,359.26","1,369.31","1,377.37","1,357.90","932.50M","-0.73%"
"21/05/2025","1,369.31","1,361.07","1,379.12","1,360.26","801.16M","0.61%"
"20/05/2025","1,361.07","1,339.57","1,361.80","1,339.57","688.41M","1.60%"
"19/05/2025","1,339.57","1,349.97","1,351.01","1,335.45","682.25M","-0.77%"
"16/05/2025","1,349.97","1,367.22","1,369.44","1,348.93","664.66M","-1.26%"
"15/05/2025","1,367.22","1,360.95","1,368.71","1,351.46","908.63M","0.46%"
"14/05/2025","1,360.95","1,343.22","1,361.88","1,340.76","769.91M","1.32%"
"13/05/2025","1,343.22","1,331.89","1,343.41","1,331.89","721.75M","0.85%"
"12/05/2025","1,331.89","1,312.94","1,332.81","1,312.94","710.40M","1.44%"
"09/05/2025","1,312.94","1,310.79","1,319.94","1,309.18","550.95M","0.16%"
"08/05/2025","1,310.79","1,290.06","1,312.62","1,290.06","616.69M","1.61%"
"07/05/2025","1,290.06","1,285.29","1,291.45","1,283.71","546.72M","0.37%"
"06/05/2025","1,285.29","1,285.90","1,296.66","1,284.13","569.90M","-0.05%"
"05/05/2025","1,285.90","1,273.69","1,286.26","1,272.45","466.69M","0.96%"
"29/04/2025","1,273.69","1,274.65","1,277.13","1,271.44","410.63M","-0.08%"
"28/04/2025","1,274.65","1,276.97","1,281.09","1,268.48","430.16M","-0.09%"
"25/04/2025","1,275.79","1,272.50","1,277.72","1,264.05","630.70M","0.31%"
"24/04/2025","1,271.82","1,266.06","1,273.24","1,258.13","571.63M","0.75%"
"23/04/2025","1,262.33","1,257.18","1,267.45","1,253.00","618.11M","1.28%"
"22/04/2025","1,246.42","1,248.58","1,253.28","1,180.19","1.33B","-0.75%"
"21/04/2025","1,255.90","1,267.00","1,270.95","1,249.42","652.67M","-0.90%"
"18/04/2025","1,267.27","1,270.43","1,283.83","1,267.27","840.30M","0.61%"
"17/04/2025","1,259.58","1,240.56","1,259.58","1,239.26","560.45M","0.78%"
"16/04/2025","1,249.89","1,266.64","1,274.84","1,245.28","585.92M","-1.44%"
"15/04/2025","1,268.15","1,273.86","1,287.12","1,258.75","790.73M","-1.33%"
"14/04/2025","1,285.22","1,277.18","1,287.48","1,269.33","781.06M","1.48%"
"11/04/2025","1,266.42","1,227.72","1,266.42","1,220.44","1.37B","4.74%"
"10/04/2025","1,209.13","1,208.92","1,209.22","1,208.21","159.01M","6.84%"
"09/04/2025","1,131.70","1,150.46","1,177.85","1,102.84","1.26B","-3.10%"
"08/04/2025","1,167.88","1,207.25","1,210.31","1,164.98","840.80M","-6.49%"
"04/04/2025","1,248.93","1,245.17","1,248.93","1,188.86","1.52B","-1.17%"
"03/04/2025","1,263.67","1,315.81","1,315.81","1,263.55","1.37B","-6.77%"
"02/04/2025","1,355.47","1,359.35","1,362.57","1,355.28","557.88M","0.03%"
"01/04/2025","1,355.08","1,349.54","1,355.08","1,343.09","423.39M","0.78%"
"31/03/2025","1,344.57","1,347.76","1,350.05","1,340.26","581.82M","-0.67%"
